date,covered_total_usd_mm,hhi,effective_number,top5_share
2025-03,31020518.0,0.053368517459233204,18.7376387354937,0.43411248000436353
2025-04,30919174.0,0.05331321965581751,18.757073882535256,0.43323214261804016
2025-05,32035693.0,0.053652890534760515,18.63832479542034,0.4358715449046162
2025-06,33190791.0,0.05389774324269092,18.553652524878398,0.4370762058668623
2025-07,33571809.0,0.0537545159956511,18.603088158786566,0.4351554603447196
2025-08,34234866.0,0.053982180887511035,18.524631342401978,0.4362529124548056
2025-09,35141667.0,0.05413116054498327,18.47364789397033,0.43682495198648374
2025-10,35650071.0,0.05372598637306472,18.61296678773208,0.4329596426329698
2025-11,35932619.0,0.05397182737329547,18.528184956264543,0.434982181510343
2025-12,36086563.0,0.054225760314373,18.441419616848442,0.4364335833257382
2026-01,36418571.0,0.054181546136051716,18.45646850846533,0.4355738450034187
2026-02,36469175.0,0.05434055282323529,18.402462765752603,0.43633312242462297
2026-03,35264330.0,0.054531742314386164,18.337943325463623,0.43765530211406256
2026-04,37360986.0,0.05445529125089956,18.363688395174652,0.43532796484546743
2026-05,38766685.0,0.05456818242559782,18.325697421999934,0.43536268319047655
